user_id,signup_date,country,region,plan_type,signup_channel,age_group
1,2024-01-05,Spain,Europe,Basic,Mobile App,36-45
2,2025-06-27,Egypt,South America,Premium,Web,26-35
3,2025-06-26,Russia,Europe,Standard,Web,26-35
4,2024-08-09,Japan,Africa,Standard,Web,26-35
5,2024-02-22,Australia,Asia,Premium,Web,46-60
6,2023-11-05,Spain,Europe,Basic,Mobile App,60+
7,2024-07-05,South Africa,Asia,Basic,Mobile App,60+
8,2023-12-12,Japan,Africa,Standard,Mobile App,18-25
9,2025-09-18,Japan,Africa,Basic,Web,18-25
10,2024-05-15,Germany,Europe,Premium,Web,46-60
11,2024-07-31,Australia,South America,Basic,Mobile App,18-25
12,2025-02-22,United Kingdom,South America,Basic,Smart Tv,36-45
13,2025-01-20,Canada,Asia,Basic,Web,46-60
14,2025-04-29,China,Europe,Premium,Mobile App,46-60
15,2025-01-17,Italy,North America,Standard,Web,46-60
16,2024-09-07,Canada,Africa,Standard,Web,36-45
17,2024-04-30,United States,Asia,Basic,Web,60+
18,2024-12-20,China,Africa,Basic,Web,46-60
19,2025-01-30,China,Asia,Premium,Web,18-25
20,2025-03-06,Sweden,Europe,Standard,Web,36-45
21,2023-12-09,India,Asia,Basic,Mobile App,18-25
22,2025-09-12,Netherlands,Asia,Standard,Web,46-60
23,2025-09-12,Russia,North America,Standard,Mobile App,60+
24,2025-09-17,Russia,Asia,Basic,Mobile App,46-60
25,2024-07-26,South Africa,South America,Standard,Web,46-60
26,2024-11-15,China,Asia,Basic,Smart Tv,60+
27,2024-10-03,Egypt,Asia,Premium,Smart Tv,46-60
28,2024-04-26,United Kingdom,Europe,Standard,Web,36-45
29,2024-02-25,France,Asia,Premium,Web,46-60
30,2024-09-22,South Africa,North America,Standard,Smart Tv,46-60
31,2025-03-12,Spain,Europe,Standard,Web,26-35
32,2024-04-07,Brazil,Africa,Standard,Web,36-45
33,2023-10-16,Spain,South America,Standard,Web,60+
34,2024-11-21,Norway,South America,Standard,Web,18-25
35,2025-01-20,Germany,Africa,Standard,Web,26-35
36,2024-04-05,Mexico,Asia,Standard,Smart Tv,26-35
37,2024-04-27,Norway,North America,Premium,Mobile App,26-35
38,2025-05-24,Brazil,North America,Standard,Web,18-25
39,2025-06-19,Canada,North America,Premium,Smart Tv,18-25
40,2024-12-27,Egypt,North America,Premium,Mobile App,60+
41,2025-07-02,Russia,Asia,Standard,Smart Tv,46-60
42,2024-08-23,Spain,Africa,Premium,Web,26-35
43,2025-04-01,China,Africa,Standard,Web,26-35
44,2024-12-27,Australia,South America,Premium,Web,36-45
45,2025-08-06,Russia,Africa,Basic,Smart Tv,18-25
46,2025-01-24,United Kingdom,North America,Basic,Web,18-25
47,2025-02-04,Mexico,Asia,Standard,Mobile App,26-35
48,2024-09-16,Sweden,Europe,Basic,Mobile App,36-45
49,2024-04-07,Germany,Europe,Standard,Mobile App,36-45
50,2023-11-15,Norway,North America,Basic,Mobile App,18-25
51,2024-11-11,Australia,South America,Premium,Smart Tv,46-60
52,2025-01-02,Germany,Europe,Standard,Mobile App,60+
53,2025-03-04,Canada,North America,Basic,Mobile App,46-60
54,2025-03-19,Italy,Asia,Standard,Web,46-60
55,2025-06-29,India,Europe,Standard,Web,60+
56,2024-01-16,Germany,North America,Premium,Web,36-45
57,2025-09-22,Norway,Europe,Standard,Mobile App,18-25
58,2024-01-15,China,Unknown,Basic,Web,18-25
59,2024-02-22,Canada,Africa,Premium,Mobile App,18-25
60,2024-12-04,India,Africa,Premium,Web,26-35
61,2023-11-05,Germany,Asia,Basic,Smart Tv,36-45
62,2025-01-15,Mexico,Asia,Basic,Web,18-25
63,2024-10-04,Netherlands,Africa,Standard,Web,18-25
64,2025-08-07,Russia,Asia,Standard,Mobile App,36-45
65,2025-07-12,Australia,Asia,Standard,Smart Tv,46-60
66,2025-05-10,Mexico,Asia,Basic,Web,36-45
67,2023-12-13,Australia,Africa,Basic,Smart Tv,18-25
68,2023-11-06,Netherlands,Africa,Standard,Web,60+
69,2024-06-20,South Korea,Europe,Basic,Web,26-35
70,2024-06-21,Norway,Africa,Basic,Web,60+
71,2025-01-21,Russia,Europe,Standard,Web,18-25
72,2024-06-08,South Korea,Africa,Basic,Mobile App,26-35
73,2024-07-11,Brazil,South America,Standard,Web,18-25
74,2024-06-07,Russia,Europe,Standard,Mobile App,36-45
75,2024-10-27,South Korea,Asia,Basic,Web,26-35
76,2024-03-29,United States,South America,Standard,Web,36-45
77,2025-05-20,Spain,Africa,Standard,Web,36-45
78,2024-07-21,Brazil,Africa,Basic,Web,60+
79,2025-05-21,United States,South America,Standard,Web,60+
80,2024-08-12,China,North America,Basic,Web,46-60
81,2024-03-28,Australia,Asia,Basic,Mobile App,18-25
82,2025-06-18,Japan,Europe,Basic,Web,26-35
83,2023-10-31,South Africa,South America,Standard,Web,60+
84,2025-05-12,Sweden,Europe,Standard,Web,36-45
85,2024-07-12,Australia,Africa,Basic,Mobile App,46-60
86,2023-12-12,United Kingdom,North America,Premium,Smart Tv,60+
87,2024-10-25,United Kingdom,North America,Basic,Mobile App,46-60
88,2023-12-27,United States,Europe,Basic,Web,60+
89,2025-05-14,France,Africa,Basic,Mobile App,26-35
90,2025-09-01,India,North America,Basic,Mobile App,18-25
91,2025-01-31,Spain,Asia,Premium,Mobile App,18-25
92,2024-06-01,Brazil,Africa,Standard,Web,60+
93,2023-12-23,Spain,South America,Standard,Mobile App,60+
94,2023-12-26,Brazil,South America,Standard,Web,46-60
95,2025-02-22,Australia,South America,Standard,Mobile App,60+
96,2024-08-19,China,Asia,Premium,Web,46-60
97,2024-08-02,Canada,Africa,Basic,Smart Tv,36-45
98,2024-01-22,United States,Europe,Basic,Web,46-60
99,2024-06-23,Netherlands,Europe,Basic,Web,60+
100,2024-09-12,France,Africa,Basic,Smart Tv,60+
101,2024-09-03,United Kingdom,Asia,Standard,Mobile App,60+
102,2025-07-26,China,Africa,Basic,Mobile App,36-45
